Var			Start	Step	Final  Units
CN_a			0.85	0.3	1.15   -
Cd			0.85	0.3	1.15   -
Cl_delta 		0.85	0.3	1.15   -
Cl_p			-0.85	0.3	-1.15  -
Cm_q			-0.85	0.3	-1.15  -
Cm_r			-0.85	0.3	-1.15  -
Wind_EW			-3.0	6.0	3.0    ms-1
Wind_NS			-3.0	6.0	3.0    ms-1
Thrust_Misalignment_Y 	-0.15	0.3	0.15   deg
Thrust_Misalignment_Z	-0.15	0.3	0.15   deg
Thrust_Offset_Y		-1.5	3.0	1.5    mm
Thrust_Offset_Z		-1.5	3.0	1.5    mm
Fin_Cant_Angle		0.2	0.6	0.8    deg
CG_Y_Offset		-9.0	18.0	9.0    mm
CG_Z_Offset		-9.0	18.0	9.0    mm
Propellant_Mass		189.88	24.24	214.12 kg
CY_beta			-0.85	0.3	-1.15  -
Ixx			0.85	0.3	1.15   -
Iyy_zz			0.85	0.3	1.15   -
Density_Scaling		85.0	30.0	115.0  %
CP_X_Offset_Scaling	0.985	0.03	1.015  -
CG_X_Offset_Scaling	0.985	0.03	1.015  -
Inclination		81.5	1.0	82.5  deg
Heading			348.5	2.0	350.5  deg
Structural_Mass		111.0	18.0	129.0 kg
Impulse			243.275	39.45	282.725	s
